article,wikipedia-url,wikidata-id,OSM-tag
Bermuda Triangle,http://en.wikipedia.org/wiki/Bermuda_Triangle,43708,region
Denver International Airport,http://en.wikipedia.org/wiki/Denver_International_Airport,330015,aerodrome
Vietnam Veterans Memorial,http://en.wikipedia.org/wiki/Vietnam_Veterans_Memorial,713628,memorial
"Bel Air, Los Angeles",http://en.wikipedia.org/wiki/Bel_Air%2C_Los_Angeles,86768,neighbourhood
University of Wisconsin–Madison,http://en.wikipedia.org/wiki/University_of_Wisconsin%E2%80%93Madison,838330,university
Utah,http://en.wikipedia.org/wiki/Utah,829,state
Harvard University,http://en.wikipedia.org/wiki/Harvard_University,13371,university
"Dayton, Ohio",http://en.wikipedia.org/wiki/Dayton%2C_Ohio,34739,city
Tijuana,http://en.wikipedia.org/wiki/Tijuana,124739,city
Yellowstone Caldera,http://en.wikipedia.org/wiki/Yellowstone_Caldera,650836,volcano
Princeton University,http://en.wikipedia.org/wiki/Princeton_University,21578,university
Padmanabhaswamy Temple,http://en.wikipedia.org/wiki/Padmanabhaswamy_Temple,1473969,place_of_worship
"Jamestown, Virginia",http://en.wikipedia.org/wiki/Jamestown%2C_Virginia,323813,town
7 World Trade Center,http://en.wikipedia.org/wiki/7_World_Trade_Center,270066,attraction
Washington Monument,http://en.wikipedia.org/wiki/Washington_Monument,178114,monument
Mount McKinley,http://en.wikipedia.org/wiki/Mount_McKinley,130018,peak
Florida,http://en.wikipedia.org/wiki/Florida,812,state
Cedar Point,http://en.wikipedia.org/wiki/Cedar_Point,859230,theme_park
Sundarbans,http://en.wikipedia.org/wiki/Sundarbans,4526,forest
Flathead Lake,http://en.wikipedia.org/wiki/Flathead_Lake,1427364,lake
Detroit,http://en.wikipedia.org/wiki/Detroit,12439,city
"Gainesville, Florida",http://en.wikipedia.org/wiki/Gainesville%2C_Florida,487999,city
"San Jose, California",http://en.wikipedia.org/wiki/San_Jose%2C_California,16553,city
California,http://en.wikipedia.org/wiki/California,99,state
"Pasadena, California",http://en.wikipedia.org/wiki/Pasadena%2C_California,485176,city
"Grand Rapids, Michigan",http://en.wikipedia.org/wiki/Grand_Rapids%2C_Michigan,184587,city
Odisha,http://en.wikipedia.org/wiki/Odisha,22048,state
Sydney,http://en.wikipedia.org/wiki/Sydney,3130,city
Tripura,http://en.wikipedia.org/wiki/Tripura,1363,state
Purdue University,http://en.wikipedia.org/wiki/Purdue_University,217741,university
English Channel,http://en.wikipedia.org/wiki/English_Channel,34640,sea
Library of Congress,http://en.wikipedia.org/wiki/Library_of_Congress,131454,library
Andorra,http://en.wikipedia.org/wiki/Andorra,228,country
Michigan,http://en.wikipedia.org/wiki/Michigan,1166,state
AT&T Stadium,http://en.wikipedia.org/wiki/AT%26T_Stadium,838284,stadium
Faroe Islands,http://en.wikipedia.org/wiki/Faroe_Islands,4628,country
Allahabad,http://en.wikipedia.org/wiki/Allahabad,162442,city
"Wilmington, Delaware",http://en.wikipedia.org/wiki/Wilmington%2C_Delaware,174224,city
Nevada,http://en.wikipedia.org/wiki/Nevada,1227,state
Mississippi River,http://en.wikipedia.org/wiki/Mississippi_River,1497,river
Principality of Sealand,http://en.wikipedia.org/wiki/Principality_of_Sealand,13706,offshore_platform
Nova Scotia,http://en.wikipedia.org/wiki/Nova_Scotia,1952,state
"University of California, Berkeley",http://en.wikipedia.org/wiki/University_of_California%2C_Berkeley,168756,university
"Richmond, Virginia",http://en.wikipedia.org/wiki/Richmond%2C_Virginia,43421,city
Southern United States,http://en.wikipedia.org/wiki/Southern_United_States,49042,region
"New Haven, Connecticut",http://en.wikipedia.org/wiki/New_Haven%2C_Connecticut,49145,city
Silicon Valley,http://en.wikipedia.org/wiki/Silicon_Valley,163820,region
Cascade Range,http://en.wikipedia.org/wiki/Cascade_Range,4558,ridge
